residence,age_range,meat_consumption,fresh_food_cons,habitation_type,tentants,house_size,house_energy_efficiency,weekly_car_km,car_type,person_per_travel,km_public,yearly_flight_hours
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Ibrida,Spesso,0,1
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Grande (111-170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",5,Benzina,Raramente,0,2
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),300,Diesel,Ogni tanto,0,10
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,1,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",60,Ibrida,Ogni tanto,0,2
No,19-25,Molto spesso (mangio carne o pesce tutti i giorni),Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",0,Benzina,Spesso,70,0
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,2,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",60,Diesel,Ogni tanto,0,10
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),6,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",25000,Benzina,Spesso,0,10
Sì,26-35,Molto spesso (mangio carne o pesce tutti i giorni),25-50%,Casa unifamiliare,3,Grande (111-170 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",40,Diesel,Spesso,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Benzina,Spesso,0,30
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,2,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),60,Diesel,Raramente,0,35
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Raramente,0,10
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa unifamiliare,3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),35,Diesel,Spesso,0,2
No,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Benzina,Spesso,8,8
Sì,19-25,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Ibrida,Spesso,0,0
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,2,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",20,Diesel,Raramente,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",40,Benzina,Raramente,0,3
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),60,Diesel,Ogni tanto,0,10
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),40,Diesel,Raramente,0,0
No,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),25,Ibrida,Ogni tanto,500,3
No,26-35,Molto spesso (mangio carne o pesce tutti i giorni),Meno del 25%,Casa popolare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),30,Ibrida,Raramente,0,10
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Meno del 25%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Raramente,0,2
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Raramente,0,0
Sì,46-55,Molto spesso (mangio carne o pesce tutti i giorni),25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",130,Benzina,Raramente,0,0
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),70,Benzina,Spesso,0,0
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),70,Diesel,Ogni tanto,0,0
No,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,3,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",2,Diesel,Spesso,0,0
Sì,19-25,Molto spesso (mangio carne o pesce tutti i giorni),Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Diesel,Sempre,0,20
Sì,46-55,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",1400,Diesel,Spesso,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Media (21-50 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",1100,Diesel,Raramente,0,50
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa popolare,4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",55,Ibrida,Spesso,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa unifamiliare,5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),80,Diesel,Ogni tanto,0,0
Sì,19-25,Molto spesso (mangio carne o pesce tutti i giorni),Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Diesel,Sempre,0,20
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),85,Benzina,Ogni tanto,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Diesel,Raramente,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),70,Diesel,Sempre,0,0
No,26-35,Molto spesso (mangio carne o pesce tutti i giorni),25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),30,Diesel,Spesso,1,35
Sì,26-35,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",20,Diesel,Spesso,0,10
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",10,Diesel,Raramente,100,10
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Benzina,Spesso,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),120,Diesel,Spesso,50,3
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Diesel,Raramente,0,40
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,5,Media (21-50 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",5,Diesel,Raramente,1,0
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),24,Diesel,Ogni tanto,30,0
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Sempre,0,3
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Diesel,Sempre,10,10
No,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Meno del 25%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Diesel,Spesso,0,10
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),30,Diesel,Ogni tanto,0,8
Sì,Under 19,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),15,Diesel,Sempre,0,6
Sì,46-55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa popolare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",40,Elettrica,Spesso,0,10
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Diesel,Sempre,0,0
Sì,Under 19,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",0,Benzina,Ogni tanto,0,4
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Benzina,Sempre,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Diesel,Spesso,0,1
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",20,Diesel,Sempre,0,2
No,Under 19,Molto spesso (mangio carne o pesce tutti i giorni),50-75%,Casa unifamiliare,4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",280,Diesel,Sempre,240,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Diesel,Sempre,0,0
Sì,Under 19,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Benzina,Ogni tanto,0,0
Sì,Under 19,Molto spesso (mangio carne o pesce tutti i giorni),25-50%,Casa unifamiliare,2,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Diesel,Mai,100,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),100,Benzina,Spesso,0,0
Sì,Under 19,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,6,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),4,Diesel,Sempre,0,10
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Diesel,Ogni tanto,0,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),1200,Benzina,Mai,0,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,3,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Benzina,Sempre,0,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,6,Molto grande (oltre 170 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",500,Benzina,Spesso,0,4
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",15,Benzina,Sempre,50,0
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Benzina,Spesso,0,2
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Diesel,Ogni tanto,100,40
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),150,Diesel,Ogni tanto,0,2
No,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Benzina,Spesso,10,25
Sì,46-55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa popolare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Raramente,0,0
Sì,36-45,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),8,Diesel,Spesso,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Molto grande (oltre 170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),220,Benzina,Raramente,0,30
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa unifamiliare,5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),5,Diesel,Raramente,0,0
No,46-55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,1,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),360,Benzina,Raramente,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,4,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",20,Benzina,Sempre,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",50,Diesel,Ogni tanto,0,4
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Mai,0,0
Sì,Over 55,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),200,Diesel,Mai,0,0
Sì,Over 55,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),300,Diesel,Mai,0,0
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),20,Diesel,Ogni tanto,0,4
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",600,Diesel,Raramente,0,6
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",50-75%,Casa unifamiliare,1,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),1000,Diesel,Sempre,0,40
No,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",100,Diesel,Ogni tanto,10,500
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),4,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",15,Diesel,Spesso,0,3
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa popolare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Diesel,Ogni tanto,0,0
Sì,36-45,"Raramente (sono vegetariano: non mangio carne e pesce, ma mangio uova e latticini)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Grande (111-170 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",6,Diesel,Mai,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),1,Grande (111-170 mq),"Design incentrato sull'efficienza (riscaldamento / climatizzazione passivi, controllo avanzato della temperatura e ventilazione, basso consumo di elettricità)",250,Diesel,Raramente,0,1
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa unifamiliare,3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Benzina,Ogni tanto,10,30
Sì,36-45,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,4,Grande (111-170 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",10,Benzina,Ogni tanto,0,0
